Year,country_code,population
2019,BE,1847579.0222768732
2019,DE,14144516.032886712
2019,ES,6243995.892809298
2019,FR,7988752.2436208455
2019,GB,8903016.24453937
2019,IT,5858976.307325364
2019,NL,2169350.3988561532
2020,BE,1903895.0651689763
2020,DE,14319255.063471727
2020,ES,6660579.577332452
2020,FR,8073318.003365804
2020,GB,8903016.24453937
2020,IT,5949387.820421548
2020,NL,2272938.2619943856
2020,US,46103986
2019,US,46103986
